test_name,alpha,n_runs,n_evaluated,n_pass,n_fail,n_skip,pass_rate,pvalue_mean,pvalue_std,pvalue_min,pvalue_max
frequency_monobit,0.01,32,32,28,4,0,0.875,0.34409007529926305,0.33545232040236383,3.1663835917078183e-05,0.9548448870797527
block_frequency,0.01,32,32,26,6,0,0.8125,0.3236624180839703,0.2737543449033355,0.0008686000413988368,0.9552257077088734
runs,0.01,32,32,30,2,0,0.9375,0.3936509439973826,0.3266754136389731,0.0,0.9658224566390803
longest_run_of_ones,0.01,32,32,32,0,0,1.0,0.5255971626073632,0.33487504288558034,0.03567595186583208,0.9852987796091648
binary_matrix_rank,0.01,32,32,32,0,0,1.0,0.5249801375451185,0.30628908814546874,0.01809496770560326,0.9944883405906607
discrete_fourier_transform,0.01,32,32,24,8,0,0.75,0.3665143890956858,0.33726142696374145,0.0,0.9550253150396081
non_overlapping_template_matching,0.01,32,32,0,32,0,0.0,0.0,0.0,0.0,0.0
overlapping_template_matching,0.01,32,32,0,32,0,0.0,0.0,0.0,0.0,0.0
maurers_universal,0.01,32,32,32,0,0,1.0,0.6963619895411294,0.21071245708418615,0.2244143657407638,0.9791150436168032
linear_complexity,0.01,32,32,32,0,0,1.0,0.44540837176793285,0.29622735758806895,0.042664967590281634,0.9509798566312081
serial,0.01,32,32,20,12,0,0.625,0.3342800125668977,0.35391106490623514,1.187872851046839e-79,0.9990245189149232
approximate_entropy,0.01,32,32,24,8,0,0.75,0.44369004796176265,0.3251581858430538,9.42604151816739e-14,0.9314206116660845
cumulative_sums,0.01,32,32,28,4,0,0.875,0.3377092700456994,0.34845189609423305,1.2075156348601013e-05,0.9405054368386854
random_excursions,0.01,32,25,22,3,7,0.88,0.12941552941227022,0.11750494391047364,0.0031810408091836814,0.41836499753928325
random_excursions_variant,0.01,32,25,23,2,7,0.92,0.11164601212330356,0.10154722112959384,0.0004929686425853691,0.3607138500011329
