step,phase,x,y,z
0,warmup,0.473511,0.468190,0.508132
1,warmup,0.472979,0.593685,0.496798
2,warmup,0.485049,0.717833,0.486358
3,warmup,0.508328,0.844109,0.476871
4,warmup,0.541906,0.975576,0.468445
5,warmup,0.585273,1.115015,0.461240
6,warmup,0.638247,1.265042,0.455466
7,warmup,0.700926,1.428194,0.451394
8,warmup,0.773653,1.607007,0.449368
9,warmup,0.856989,1.804083,0.449817
10,warmup,0.951698,2.022144,0.453283
11,warmup,1.058743,2.264085,0.460440
12,warmup,1.179277,2.533017,0.472132
13,warmup,1.314651,2.832316,0.489414
14,warmup,1.466417,3.165661,0.513598
15,warmup,1.636342,3.537070,0.546323
16,warmup,1.826415,3.950936,0.589633
17,warmup,2.038867,4.412053,0.646070
18,warmup,2.276185,4.925643,0.718798
19,warmup,2.541131,5.497357,0.811746
20,warmup,2.836754,6.133273,0.929795
21,warmup,3.166406,6.839855,1.078986
22,warmup,3.533751,7.623885,1.266791
23,warmup,3.942764,8.492331,1.502419
24,warmup,4.397721,9.452145,1.797187
25,warmup,4.903163,10.509950,2.164941
26,warmup,5.463842,11.671586,2.622529
27,warmup,6.084616,12.941455,3.190312
28,warmup,6.770300,14.321614,3.892675
29,warmup,7.525432,15.810537,4.758486
30,warmup,8.353942,17.401455,5.821405
31,warmup,9.258693,19.080228,7.119875
32,warmup,10.240847,20.822652,8.696591
33,warmup,11.299027,22.591258,10.597098
34,warmup,12.428250,24.331704,12.867101
35,warmup,13.618596,25.969142,15.547984
36,warmup,14.853650,27.405240,18.670003
37,warmup,16.108809,28.517033,22.242815
38,warmup,17.349632,29.159277,26.243428
39,warmup,18.530596,29.172443,30.602630
40,warmup,19.594781,28.398435,35.192388
41,warmup,20.475146,26.705118,39.818535
42,warmup,21.098144,24.018205,44.224620
43,warmup,21.390150,20.354929,48.112692
44,warmup,21.286628,15.849245,51.183637
45,warmup,20.742889,10.755738,53.192509
46,warmup,19.744174,5.422527,54.005093
47,warmup,18.312010,0.233810,53.635591
48,warmup,16.504190,-4.462920,52.248124
49,warmup,14.407479,-8.420247,50.118272
50,warmup,12.124706,-11.522729,47.568639
51,warmup,9.759963,-13.780142,44.903045
52,warmup,7.405952,-15.292072,42.360694
53,warmup,5.136150,-16.202697,40.098552
54,warmup,3.002265,-16.662070,38.197062
55,warmup,1.035832,-16.801592,36.678234
56,warmup,-0.747911,-16.723468,35.526112
57,warmup,-2.345466,-16.499945,34.703826
58,warmup,-3.760914,-16.177709,34.165391
59,warmup,-5.002594,-15.784057,33.862744
60,warmup,-6.080740,-15.332927,33.749349
61,warmup,-7.005959,-14.829995,33.781722
62,warmup,-7.788362,-14.276630,33.919860
63,warmup,-8.437189,-13.672803,34.127246
64,warmup,-8.960751,-13.019108,34.370786
65,warmup,-9.366586,-12.318047,34.620842
66,warmup,-9.661732,-11.574720,34.851400
67,warmup,-9.853031,-10.797008,35.040347
68,warmup,-9.947429,-9.995351,35.169771
69,warmup,-9.952221,-9.182189,35.226191
70,warmup,-9.875218,-8.371201,35.200657
71,warmup,-9.724816,-7.576408,35.088647
72,warmup,-9.509975,-6.811286,34.889742
73,warmup,-9.240107,-6.087961,34.607100
74,warmup,-8.924892,-5.416578,34.246778
75,warmup,-8.574061,-4.804894,33.816955
76,warmup,-8.197144,-4.258096,33.327144
77,warmup,-7.803239,-3.778841,32.787462
78,warmup,-7.400799,-3.367476,32.208002
79,warmup,-6.997467,-3.022375,31.598342
80,warmup,-6.599958,-2.740359,30.967209
81,warmup,-6.213998,-2.517121,30.322280
82,warmup,-5.844310,-2.347643,29.670099
83,warmup,-5.494643,-2.226561,29.016100
84,warmup,-5.167835,-2.148464,28.364679
85,warmup,-4.865898,-2.108133,27.719317
86,warmup,-4.590122,-2.100710,27.082715
87,warmup,-4.341180,-2.121807,26.456934
88,warmup,-4.119243,-2.167576,25.843527
